dap,target
25.396028,18.22055
29.146035,18.150497
30.303158,17.650599
31.039465,17.129129
34.175313,16.9967
47.338929,17.569721
69.517157,30.723276
78.585374,42.987914
44.161676,26.692221
33.884602,24.06303
33.051763,23.554694
28.039902,23.735153
26.442201,23.200454
25.133033,22.522769
24.206087,21.228278
23.50383,22.1948
24.40195,42.95782
27.690281,27.583413
34.894671,31.69909
49.604676,30.290526
45.830417,31.836412
38.515614,30.265174
33.206899,26.041388
27.847963,24.423812
26.810944,24.192243
24.720858,26.145299
25.747283,22.784562
26.77807,25.337027
29.446925,22.815791
35.001066,19.779309
54.525098,24.902511
58.065887,30.805917
49.422952,43.333562
42.061591,44.757799
38.424156,28.523212
35.10134,49.769661
31.826606,25.50685
30.076477,29.089903
29.241246,25.558977
27.795238,24.027561
28.598321,24.655249
31.379254,24.665333
36.320331,23.794169
47.490964,29.555749
41.333421,25.301807
34.99779,23.198419
28.759214,24.436558
23.398448,20.460381
21.023575,17.995929
20.734387,18.53924
19.854295,18.049904
19.975892,17.839098
21.341424,19.997267
25.479204,20.731836
35.726937,23.127202
40.757628,23.761686
33.974028,42.246949
32.309309,26.875024
28.634558,343.699154
26.963131,26.62766
24.518348,67.464693
23.435607,21.063121
22.517945,21.955055
21.924216,23.24869
21.973045,22.279802
22.163444,19.102205
24.215191,21.059624
29.138988,21.946469
28.860642,23.964565
23.324356,19.929691
19.440342,17.871494
17.489507,16.60687
17.560828,16.612268
17.053983,16.600573
16.422553,16.429819
16.288452,15.723498
16.956925,15.826391
18.517334,16.777201
25.758949,20.147086
28.262557,21.721538
27.569066,22.5412
28.182392,28.135985
28.345874,39.142229
27.502709,25.782378
25.354212,27.015739
24.682105,28.673647
22.805171,23.10829
22.45376,22.105723
22.584855,23.368057
22.660969,24.402256
24.43223,21.536027
28.483739,22.149852
27.064146,23.975879
23.040094,22.734276
20.16954,21.671202
18.136411,18.148978
19.989166,18.970845
19.361229,21.375557
18.831775,18.634336
19.015614,19.189205
19.889546,21.225982
23.661519,22.279204
33.817275,39.89855
38.135355,45.524195
36.759176,133.68408
34.861188,55.842867
35.899999,28.505274
33.78113,54.333612
30.977904,25.888838
26.559857,24.756831
25.634813,25.592143
24.855768,20.635155
24.872876,18.946603
25.986293,19.977789
31.117789,21.251364
42.821422,83.366097
39.176342,79.015679
35.648207,106.28501
29.943727,27.740925
26.277177,24.093438
31.219634,62.685169
28.323043,25.049739
27.086729,26.785451
27.615412,33.10005
29.69209,24.758653
34.077885,25.840625
42.107424,22.940208
46.441519,35.700018
42.343348,30.743223
38.231638,23.114477
31.3178,23.018333
24.790322,21.357267
22.589464,19.871694
21.155804,19.243803
20.654332,17.215319
19.863251,18.112894
20.322627,18.827201
20.859485,19.29516
23.668489,23.830357
32.454804,34.912652
32.018848,32.323199
29.057243,34.830501
24.5315,28.938318
21.457438,24.57578
23.940815,32.346354
23.450963,32.047912
23.44103,27.465095
25.585723,32.871428
26.542405,32.797135
28.864705,50.789381
32.127932,27.117973
34.391801,28.608576
32.384097,20.090004
24.982118,20.461001
21.957114,18.720169
20.503621,18.978785
20.264182,16.336744
18.63304,15.596677
17.93655,15.477982
17.783214,15.681141
18.386068,15.849785
18.712068,17.585467
22.528961,18.62759
32.130151,24.754329
32.061417,25.014132
25.511413,20.499138
21.035643,17.619529
19.204912,15.515384
25.270119,16.629552
22.900416,17.295379
23.422349,16.169156
24.773537,17.727956
22.616249,21.889667
30.986217,18.869062
45.563027,25.713424
53.094357,36.126922
37.619658,21.777241
33.157991,21.35019
30.452939,26.187853
26.800616,22.912448
24.396895,26.27708
23.27957,22.958681
21.627965,69.922986
21.129339,23.247028
21.887696,21.353198
22.735978,21.519079
26.479736,21.803962
37.13575,542.906344
34.108486,21.771928
28.32728,20.776338
23.645781,20.376403
21.371959,17.094644
21.649117,18.018576
20.939225,18.303486
20.024613,17.571832
19.988295,18.626418
21.878113,19.679917
25.309106,20.483282
33.936478,30.593975
40.038923,22.532224
32.895668,22.564676
29.322785,25.727057
27.607345,26.875107
26.071216,20.133531
24.15749,19.941937
23.396988,19.345625
22.232304,19.777973
21.705575,19.63163
21.938679,19.894806
22.372559,21.088193
24.102955,21.130734
32.630112,26.022728
32.579567,26.690474
23.746761,21.510778
20.730394,23.819058
18.559697,16.002346
17.576664,15.839518
16.450546,15.481061
16.214566,15.762866
16.006529,15.850077
17.149045,18.075456
21.093249,18.751057
32.050448,22.382748
33.234061,24.601757
31.072024,20.070733
31.065516,19.244277
31.003879,20.051984
29.65568,23.401549
28.28912,28.437645
26.5238,24.116145
25.6728,21.461655
24.766098,23.46338
24.541362,29.201232
25.490888,21.197844
27.763473,23.242479
34.488178,25.04634
32.465294,24.724044
26.179211,21.7472
22.611,22.237412
19.960189,18.279266
18.40539,17.705145
18.466867,18.967126
17.995946,16.27789
17.593509,19.140551
18.676087,19.163925
21.828042,19.984143
34.081419,25.79789
36.270397,27.562771
29.493499,20.405457
30.334601,26.023933
28.773967,24.162286
28.27307,28.254331
27.435332,29.153017
26.446866,33.598948
25.835992,34.105547
24.24556,22.547236
23.794994,21.163675
24.478414,20.943728
29.053711,19.028977
33.663272,22.769034
33.60206,22.726753
27.294068,19.569397
20.730631,18.714803
19.167123,18.776001
16.769657,15.279775
16.081554,17.796215
15.716026,15.43793
15.593199,15.425623
16.168568,16.469494
20.300958,19.031741
29.14735,20.227029
33.987646,30.231093
27.488464,21.067295
28.001827,23.994311
28.996409,58.10393
28.858808,114.784164
27.579385,20.516138
27.499388,32.319471
26.958816,23.650943
25.856895,27.910035
26.422502,27.646085
26.700572,22.407796
32.462038,27.044008
37.313238,22.416134
36.556744,134.808369
26.347573,34.113205
22.189186,47.717388
20.067536,22.19173
19.600257,18.249968
19.216939,25.075478
18.901011,18.651617
18.656098,21.150282
18.707065,19.911163
19.43892,20.145308
22.253061,28.200979
24.739131,19.573009
23.227803,19.407415
23.556999,19.060756
23.142102,17.275394
21.991094,18.735964
21.224204,18.362983
20.454711,18.365658
20.04549,17.094016
20.259277,19.643774
21.227323,54.57515
22.13112,34.68583
24.77795,18.489388
33.176138,21.576973
30.298897,55.203784
23.784443,22.224149
20.341416,23.951468
18.663032,28.409673
18.406838,18.018312
18.445622,15.178333
17.622892,13.41886
17.073225,15.066722
17.257241,14.02203
17.304662,13.979993
19.787474,13.457102
21.296045,12.416193
22.198238,13.728153
22.548918,30.260556
24.672056,18.309799
24.2313,20.458083
22.439781,18.500401
21.489832,18.767741
21.38603,19.207595
21.247967,18.021803
22.059668,18.53024
23.175633,21.440449
26.624844,19.392412
36.142378,19.548733
38.95085,42.300958
31.465901,23.560819
24.762316,20.550747
21.915283,20.106411
19.370143,20.023411
19.29217,17.764286
18.967161,18.404378
19.290998,18.90346
19.887569,18.250876
25.231877,18.453186
41.865238,26.886725
48.361923,27.257241
35.388114,19.951817
32.605378,23.758001
31.115446,20.61698
26.714632,17.331394
23.923157,17.49263
22.015009,17.145431
21.637672,15.906657
20.721957,15.316115
21.002055,14.584847
22.02536,14.977527
27.725217,16.109363
41.262221,24.582122
36.926673,21.619568
29.129511,18.567416
21.883811,15.96611
19.542122,15.545207
18.577292,14.874013
17.575404,15.734877
17.108266,15.205934
17.392157,15.913937
18.658368,15.639794
24.541652,16.936069
37.787262,31.004058
41.163322,27.562702
28.663935,17.385531
23.830027,17.701353
22.704234,16.894604
22.654259,15.822917
21.390568,17.278491
20.80019,17.373009
20.700483,15.85789
20.314067,15.446032
20.484801,16.652981
21.687987,18.145883
24.094944,18.279876
34.087064,19.636987
33.511965,20.908475
24.365778,18.60368
20.884908,16.497544
18.876709,14.567222
15.831686,14.1267
15.697121,13.524285
15.440769,12.878075
15.406756,11.87684
16.241852,13.393653
19.067494,18.555052
25.467925,16.226255
27.504897,19.387146
26.588918,20.006395
27.224841,18.486159
27.531972,19.440469
26.743239,18.01759
24.741491,19.576515
24.51456,20.216699
22.739219,19.115917
21.867883,18.318588
22.611704,19.552364
22.795341,20.942144
24.502433,19.763823
29.559321,18.553515
28.605441,20.180843
24.046299,18.931696
20.301477,19.618078
18.274333,17.133717
18.237383,16.098043
17.96083,16.54051
16.948939,15.98449
17.786364,16.279652
18.837155,18.523004
20.608706,20.970568
30.568393,20.945015
35.980349,26.688807
33.396799,23.656911
30.513149,21.225925
30.004678,22.901732
28.491592,22.477598
26.416992,21.717305
24.714927,22.415507
23.376925,21.854732
22.997588,22.50423
23.124119,25.150596
24.307441,22.703768
25.645102,21.497215
32.066456,35.335376
40.024908,60.951715
31.211977,29.991238
25.763688,23.755448
23.405883,23.227653
23.154634,18.965493
22.585769,20.99213
22.605871,20.301952
23.010483,26.933011
23.857813,20.583751
28.511801,22.761424
39.329039,24.164371
58.048813,26.520757
43.288811,22.604207
34.826912,24.075066
29.743946,22.082283
27.110239,19.445173
25.006243,19.551297
23.195385,18.679841
21.76354,17.740617
21.421963,16.155353
21.510447,16.050939
21.828577,16.306639
23.800658,16.653453
28.470732,18.934523
29.652589,25.352771
24.999239,19.164164
23.595553,25.666278
20.775224,19.135596
22.747036,20.812823
22.688559,24.766745
21.331603,20.178221
22.454772,26.773651
22.436523,24.633027
23.699019,20.689425
25.343376,24.155717
31.44115,21.23221
27.13058,18.888996
25.376089,19.355812
22.734333,20.036127
21.541549,18.224003
20.63588,17.916206
19.309721,16.421702
18.027937,15.756941
17.481178,15.368855
18.439118,15.427183
19.214908,15.994326
20.059,18.588905
24.742713,34.574496
27.563332,21.636147
23.778435,22.33354
21.653177,20.041237
20.757319,18.898092
20.270829,16.165191
19.964459,17.095888
18.683775,16.860023
18.353429,16.685605
19.004219,18.500866
20.292213,19.781306
21.346318,21.286653
23.000156,23.386098
22.851889,21.123787
22.581892,19.940085
21.547634,18.766668
19.860323,18.655814
18.623146,17.998815
17.856869,16.794496
17.507625,16.169969
17.10108,15.347537
17.498152,15.732929
17.633661,17.371319
18.967529,19.392169
21.82804,19.319169
24.947032,22.321658
21.018138,19.310275
18.695616,18.188291
17.11594,16.624559
16.764059,15.877144
16.834515,15.316246
16.107895,15.510768
16.458634,16.698529
16.914606,18.097434
20.258886,27.613375
25.654671,23.655032
29.61889,21.910718
28.631372,20.681706
28.753099,25.564757
29.12828,63.347869
29.203314,24.001154
26.648896,21.043137
24.190665,21.497347
24.297995,21.147238
23.391367,21.78697
23.747324,22.182579
24.581694,26.374649
26.035598,24.556672
30.410297,24.117545
33.61308,29.042698
25.572356,25.347189
21.255545,18.413042
18.734532,17.498192
16.773474,16.630952
16.226093,16.519232
15.707813,16.457885
15.457517,16.266554
16.228531,16.846607
18.280436,17.833717
23.178187,18.713422
25.549849,21.137298
25.211642,19.075743
25.568423,21.788266
25.673965,22.400805
25.782064,53.757634
26.645378,85.709749
26.219295,42.422702
25.974683,46.786031
26.219631,58.297131
29.387664,67.457064
30.352641,22.455257
29.930744,22.723129
35.859752,51.963738
39.212762,29.440996
27.640563,23.542009
21.286271,20.39127
18.282178,18.219944
16.27004,16.562794
15.67555,16.404495
14.767456,15.966709
14.714291,15.434917
15.191855,16.068367
17.668423,19.092671
21.155619,20.535336
23.705016,19.358512
24.457393,19.991529
25.384848,20.380083
26.141494,20.371056
26.806425,21.29345
28.815758,22.209671
31.640717,23.339555
31.912758,24.334957
34.765585,35.447547
38.356528,22.585103
38.638516,21.682353
35.812915,22.471998
40.239778,22.177445
41.583991,24.442114
27.911659,21.562683
22.377584,19.201558
18.452825,17.885674
17.769004,18.819533
16.648665,18.21575
16.130126,16.808526
15.959609,15.864126
16.263705,16.400019
19.123151,18.522446
22.862744,19.733162
24.765785,19.336858
24.182774,20.335054
25.264123,19.627001
26.906175,21.337545
28.190129,20.585026
28.978834,21.933248
27.541169,21.987339
26.834638,22.096664
26.488554,21.861518
26.604492,19.032978
25.173079,19.580275
24.566499,20.424798
28.764561,26.541515
32.09574,33.386789
25.367834,21.800107
21.428932,19.952279
18.742533,16.756631
16.687585,15.782376
16.168708,15.641242
15.805877,15.508362
15.66369,15.323972
15.851539,15.469891
18.144619,16.531613
21.635823,59.172096
23.598723,32.38012
24.277575,19.885957
25.099819,20.98441
26.045229,21.572334
25.245284,21.697791
25.729606,28.917182
24.993847,21.395573
24.847011,37.554259
24.452085,23.465813
25.049871,19.92023
25.146358,21.525968
25.512567,23.958367
29.021784,29.51995
30.092623,32.648511
25.763909,25.995044
22.794285,21.412878
19.60733,20.375826
19.624718,18.963815
18.709298,27.919597
17.545157,18.751942
17.424829,18.307777
17.351259,20.385712
18.245302,22.169237
19.420505,27.200756
20.741564,17.509583
22.31198,22.452792
22.998311,28.848169
23.536769,20.976782
24.087945,20.817108
24.075975,18.779619
23.255162,21.075151
23.415284,21.664323
23.669941,26.46958
23.611197,32.80335
23.659312,23.788577
22.982824,23.984025
26.337214,22.806317
27.779188,26.350071
23.282669,26.266905
20.880749,31.816528
18.412447,26.926652
17.823818,20.216714
17.612018,18.943553
16.512205,18.870726
15.921434,17.877219
16.19079,17.949992
16.690802,17.57071
17.758951,17.757007
18.498483,19.415574
20.060797,27.178313
21.176916,18.644116
22.066422,22.618359
23.346714,19.900858
23.052798,30.78015
22.90479,25.974994
22.895626,18.927022
23.080118,23.967417
23.45932,21.701873
25.297237,30.923279
29.476656,31.741525
32.030698,23.754013
44.975861,37.345739
30.407171,23.118232
23.823189,21.83511
20.277305,19.917336
18.864489,18.081289
17.810875,17.759925
17.311305,16.936598
17.332653,15.575867
17.821967,15.873346
20.794937,20.144847
26.966365,22.863868
28.507287,22.99381
27.657399,22.80278
31.0165,19.48873
30.050927,21.661806
30.146133,23.127357
29.013493,23.738614
26.658258,22.728587
24.919031,28.29067
23.427696,20.970416
23.680532,21.088903
23.87906,28.640603
24.664385,22.194387
32.67025,24.166492
39.24863,40.730353
27.086586,25.459283
23.028865,24.255253
21.022915,17.054918
19.132217,17.605227
18.940558,19.82094
18.154792,16.339925
18.368722,16.745913
19.298842,18.511057
22.372519,23.731916
32.718717,22.534565
38.717052,27.552077
31.479927,29.776617
32.315841,22.742133
30.496702,23.725421
28.129733,45.665174
25.952082,27.409353
24.410483,22.033511
24.140268,21.920297
22.540785,20.953366
22.559774,25.836584
23.19664,29.731663
24.181033,26.726206
32.419404,27.285825
42.286903,64.163741
28.70474,30.937441
23.564212,22.395993
21.463942,18.814692
19.447511,19.639566
19.45721,19.987927
19.278006,20.132197
19.352466,19.114435
20.560952,21.646517
23.522139,21.654844
33.855292,40.632833
37.695589,20.836004
35.93798,21.058266
36.164479,21.389348
33.646737,22.674742
31.141711,24.614737
31.982348,24.138386
28.859266,56.563897
27.521718,24.267093
29.196899,28.753565
27.428739,22.17608
28.69724,23.206259
27.580637,25.552886
31.373034,36.755237
38.529976,37.327954
30.973203,38.151455
25.862404,31.780681
22.857767,34.708331
20.874802,19.660027
20.692355,22.957447
20.027265,20.129696
20.069278,18.602496
20.638467,21.27051
22.573146,21.814817
32.320897,37.564438
35.396928,29.608986
35.731421,48.520018
35.391557,23.213539
33.897346,24.779267
32.282731,41.936098
33.383253,26.932074
30.235166,30.599313
28.393888,23.604485
26.231078,22.658509
26.075268,23.844904
27.476938,27.317055
30.816566,25.007689
34.719679,24.249975
44.238104,31.376403
32.988525,41.130783
27.446133,25.159974
23.183774,24.968306
23.721026,24.210703
22.500682,24.711641
21.722381,22.942118
22.182078,28.267305
23.786862,27.125198
27.322345,23.902233
43.876668,23.600911
48.995264,26.399769
43.058721,22.758822
39.133006,31.080931
36.452311,24.410769
34.324857,31.907544
32.358204,28.602251
31.778091,26.251629
29.266989,24.62077
27.22833,23.103359
25.715323,22.113687
26.922609,23.908792
27.112823,23.405413
31.877623,20.869156
38.238038,23.869621
30.994849,24.735734
26.290428,21.619233
24.269167,22.89586
25.011047,45.76226
25.149588,52.253979
24.816591,24.641328
24.928046,26.662498
25.360758,26.152978
25.393851,23.937364
28.861117,24.773821
34.533254,21.254846
35.483811,22.159464
36.065617,24.918554
34.664898,25.912376
32.985386,24.687487
28.815928,24.644792
27.012523,22.80755
25.464235,22.389659
25.437722,27.740251
25.642244,24.338524
27.016891,25.471411
27.217195,21.490002
34.825855,21.463355
43.184033,26.283453
34.313977,25.502292
27.697369,25.232509
24.330293,22.552765
23.578904,22.003268
23.075176,23.823062
22.81603,21.1303
22.848069,21.625088
22.732477,21.801879
22.705715,23.478742
23.267963,23.379629
24.186176,22.597566
24.363444,22.197682
24.480803,22.433395
24.222619,21.575529
23.782814,22.713977
23.048095,21.1258
22.174279,23.263152
21.590675,26.200434
21.434269,24.299034
21.64102,24.997427
22.985933,25.367157
23.135227,26.063054
25.987961,22.27758
36.434874,31.202008
29.307831,23.213134
23.427409,21.025545
22.200452,19.928303
22.183063,18.461473
21.260176,18.822489
20.27689,18.518596
20.401593,18.711034
21.257684,19.294779
23.39902,46.307879
33.023991,23.539283
38.349685,25.625868
33.986698,49.843576
32.736377,31.177724
32.130197,25.959573
32.408406,25.66583
28.890559,27.484061
27.63332,29.051612
25.943765,22.9016
24.899355,20.765909
24.785986,20.444166
26.622516,22.371061
26.763371,24.865511
32.939834,24.553885
40.507703,37.29927
32.111852,30.55521
25.403325,30.198754
22.619912,22.385343
24.469592,24.933798
25.316644,34.304514
24.583029,23.731345
24.777514,22.817072
25.972323,24.071825
31.792699,33.970486
44.45993,58.128346
42.978894,44.091462
40.664396,25.692803
40.575496,28.011753
40.164683,26.184499
41.504992,27.170108
37.477149,30.537799
39.197991,23.81738
36.780177,23.989368
34.713147,23.668004
34.213004,24.150251
36.320198,26.347689
35.398283,27.95505
42.207144,30.129405
47.566103,32.634854
39.555646,36.954984
34.593437,32.783051
31.004887,37.968934
26.139671,26.311099
25.46703,26.116178
23.989191,27.407426
24.38062,26.81891
25.414564,25.753709
29.414531,22.201378
37.232883,24.875314
40.775835,24.518739
38.150256,27.777243
37.134495,29.465893
37.559041,30.414926
35.532851,33.060691
35.090843,87.562718
33.407756,34.497367
28.819528,28.234227
28.040452,24.009087
31.073702,27.100817
30.192268,31.205193
34.998152,27.410684
42.326069,49.575044
49.126105,78.623096
37.464358,70.56473
33.126581,44.353766
32.047059,30.417609
34.339762,31.791905
32.580516,29.195864
30.64441,30.166399
31.770704,30.230515
34.672364,31.603489
40.959087,29.580392
53.798227,56.806189
65.244297,32.435686
46.069998,31.824365
38.72448,40.993601
36.589387,43.311826
35.051448,28.267033
32.75979,60.429529
29.800868,32.131413
28.735418,28.828747
27.344305,24.774807
27.537216,29.081154
29.095699,53.631182
30.877608,23.367639
37.801304,28.811353
48.326763,31.277491
36.684729,31.151746
32.106405,27.428904
28.433517,29.238347
29.207599,23.496704
27.894457,25.244302
26.579352,22.144083
27.069759,25.524949
29.771936,25.436844
36.339308,32.130448
53.459858,34.354269
62.49652,32.977918
44.015472,36.430574
38.2592,28.376507
37.729175,29.629134
33.215383,48.470253
32.311378,63.579698
29.750061,23.603487
27.785187,34.075699
25.992223,19.022219
25.939282,29.402402
25.967221,25.162447
27.131959,26.679605
34.882259,26.375714
42.500167,30.353474
34.472249,27.565206
27.729572,22.83227
23.37988,22.058524
24.761864,22.325241
24.713304,24.305643
22.865609,22.825202
23.204924,22.499535
23.525318,25.004549
24.749189,25.604225
25.110675,23.882434
27.503046,23.621301
28.637966,24.540156
30.845644,34.613817
31.346144,27.868609
30.629076,28.56719
29.034696,23.02865
27.632794,29.70732
26.35979,25.031748
26.111323,26.583423
27.621102,44.589768
29.007162,26.621694
27.525453,33.189576
29.984278,22.364032
37.147462,25.07437
29.165529,24.586669
25.677029,20.423971
22.822714,18.391315
21.165891,19.022897
20.616742,19.266367
18.891447,17.787988
18.274795,17.710436
18.462284,18.750057
18.457066,20.220734
20.626119,18.085319
22.434588,19.494634
23.543054,19.305801
24.528986,19.692002
24.988746,21.367807
25.293812,22.5782
24.399449,20.501962
23.462399,20.394404
22.887539,19.712802
22.566574,19.008725
23.494641,18.591114
23.693522,19.246615
